datetime,symbol,open,high,low,close,volume,ema_50,ema_200,rsi,signal,signal_price
2025-12-15 00:02:00+00:00,BTC-USD,88473.390625,88473.390625,88365.265625,88365.265625,450772992,88365.265625,88365.265625,,,
2025-12-15 00:04:00+00:00,BTC-USD,88300.6015625,88313.7578125,88300.6015625,88313.7578125,50028544,88363.24571078432,88364.75310945274,,,
2025-12-15 00:06:00+00:00,BTC-USD,88292.46875,88292.46875,88271.578125,88271.578125,229085184,88359.65090349867,88363.82599517958,,,
2025-12-15 00:08:00+00:00,BTC-USD,88297.2265625,88300.6796875,88297.2265625,88300.6796875,9142272,88357.33830679284,88363.19767371014,,,
2025-12-15 00:12:00+00:00,BTC-USD,88217.796875,88217.796875,88159.5625,88159.5625,118018048,88349.58239280096,88361.1714530762,,,
2025-12-15 00:16:00+00:00,BTC-USD,88189.21875,88189.21875,88130.1640625,88130.1640625,187895808,88340.97775239701,88358.87287207544,,,
2025-12-15 00:18:00+00:00,BTC-USD,88224.4921875,88362.4140625,88224.4921875,88362.4140625,158085120,88341.81839200889,88358.90810780106,,,
2025-12-15 00:20:00+00:00,BTC-USD,88409.3515625,88409.3515625,88376.640625,88376.640625,255037440,88343.18396977326,88359.08455075827,,,
2025-12-15 00:26:00+00:00,BTC-USD,88540.3515625,88551.546875,88540.3515625,88551.546875,52830208,88351.35506409589,88360.99959876068,,,
2025-12-15 00:28:00+00:00,BTC-USD,88571.4921875,88571.4921875,88561.1484375,88561.1484375,123424768,88359.58225520978,88362.99112949442,,,
2025-12-15 00:30:00+00:00,BTC-USD,88544.40625,88547.03125,88544.40625,88547.03125,73412608,88366.93319618196,88364.82237447458,,,
2025-12-15 00:32:00+00:00,BTC-USD,88632.359375,88632.359375,88524.546875,88524.546875,182046720,88373.11412476306,88366.41167298728,,,
2025-12-15 00:38:00+00:00,BTC-USD,88327.1171875,88327.1171875,88294.8671875,88294.8671875,50905088,88370.04561741941,88365.69978755954,,,
2025-12-15 00:40:00+00:00,BTC-USD,88285.6953125,88285.6953125,88226.6875,88226.6875,41623552,88364.42373046179,88364.31658071815,43.4555785123967,,
2025-12-15 00:42:00+00:00,BTC-USD,88186.109375,88186.109375,88153.8515625,88153.8515625,102592512,88356.16599838485,88362.2224014324,40.65850610661198,,
2025-12-15 00:44:00+00:00,BTC-USD,88201.1875,88260.0703125,88201.1875,88260.0703125,14606336,88352.39754011486,88361.20596273655,47.73718109136888,,
2025-12-15 00:46:00+00:00,BTC-USD,88233.984375,88297.3203125,88233.984375,88297.3203125,150863872,88350.23764883584,88360.57028462474,51.089508315973944,,
2025-12-15 00:50:00+00:00,BTC-USD,88301.4375,88301.4375,88301.4375,88301.4375,5894144,88348.32391750895,88359.98189870808,50.032766506549926,,
2025-12-15 00:52:00+00:00,BTC-USD,88245.5234375,88337.296875,88245.5234375,88337.296875,138530816,88347.8914844694,88359.75617707915,58.45448329171126,,
2025-12-15 00:58:00+00:00,BTC-USD,88497.4375,88497.4375,88491.96875,88491.96875,336703488,88353.54157331373,88361.07172506841,65.37764230071923,,
2025-12-15 01:00:00+00:00,BTC-USD,88528.703125,88528.703125,88528.703125,88528.703125,74805248,88360.41065377202,88362.73969919709,58.47649996415856,,
2025-12-15 01:02:00+00:00,BTC-USD,88527.4140625,88596.34375,88527.4140625,88596.34375,18993152,88369.66293205548,88365.06411761304,60.620892816678,,
2025-12-15 01:04:00+00:00,BTC-USD,88562.40625,88562.40625,88483.625,88483.625,273006592,88374.13203275918,88366.24382788557,46.50646950092421,,
2025-12-15 01:08:00+00:00,BTC-USD,88568.5859375,88568.5859375,88452.6328125,88452.6328125,46645248,88377.21049470981,88367.10341977228,44.53872043281329,,
2025-12-15 01:12:00+00:00,BTC-USD,88596.6328125,88604.4921875,88596.6328125,88604.4921875,289730560,88386.12350227022,88369.46549706311,52.539727484305836,,
2025-12-15 01:14:00+00:00,BTC-USD,88604.7265625,88614.265625,88604.7265625,88614.265625,627761152,88395.07025218119,88371.90131923163,54.010560724163945,,
2025-12-15 01:20:00+00:00,BTC-USD,88595.109375,88680.0234375,88595.109375,88680.0234375,9404416,88406.24488689957,88374.9672109557,70.17350028643915,,
2025-12-15 01:22:00+00:00,BTC-USD,88640.2578125,88675.3125,88640.2578125,88675.3125,97030144,88416.79655800154,88377.95572129445,75.17139200112216,,
2025-12-15 01:26:00+00:00,BTC-USD,88703.4609375,88703.4609375,88660.859375,88660.859375,139886592,88426.36764886424,88380.77068302287,80.44149240569268,,
2025-12-15 01:28:00+00:00,BTC-USD,88658.5546875,88682.4921875,88658.5546875,88682.4921875,311791616,88436.41174841858,88383.77288704753,78.23026961552117,,
2025-12-15 01:30:00+00:00,BTC-USD,88699.640625,88725.1796875,88699.640625,88725.1796875,152371200,88447.73598132373,88387.1699696391,78.38734423918227,,
2025-12-15 01:36:00+00:00,BTC-USD,89039.8984375,89039.8984375,88986.9609375,88986.9609375,373473280,88468.88205803653,88393.13803897105,83.89406920420572,,
2025-12-15 01:38:00+00:00,BTC-USD,89020.6328125,89270.640625,89020.6328125,89270.640625,3358720,88500.32357046647,88401.86940798628,87.06410860986324,,
2025-12-15 01:40:00+00:00,BTC-USD,89191.125,89191.125,89082.7421875,89082.7421875,412647424,88523.1635162325,88408.64426151378,72.85708240386417,,
2025-12-15 01:42:00+00:00,BTC-USD,89081.15625,89081.15625,89052.1015625,89052.1015625,448790528,88543.90618471357,88415.0468217226,70.34627696082897,,
2025-12-15 01:44:00+00:00,BTC-USD,89087.15625,89087.15625,89049.578125,89049.578125,42184704,88563.73645688167,88421.36056603382,68.55830379649653,,
2025-12-15 01:50:00+00:00,BTC-USD,89174.7890625,89260.703125,89174.7890625,89260.703125,523919360,88591.06848308239,88429.71223328722,79.44558254094187,,
