Datetime,symbol,Open,High,Low,Close,Volume
2025-12-15 00:00:00+00:00,ETH-USD,3062.03076171875,3064.556396484375,3062.03076171875,3064.556396484375,38632448
2025-12-15 00:02:00+00:00,ETH-USD,3082.742431640625,3082.742431640625,3076.7080078125,3076.7080078125,345823232
2025-12-15 00:04:00+00:00,ETH-USD,3072.917724609375,3072.917724609375,3071.96923828125,3071.96923828125,561776640
2025-12-15 00:06:00+00:00,ETH-USD,3069.971435546875,3069.971435546875,3069.234619140625,3069.234619140625,209343488
2025-12-15 00:08:00+00:00,ETH-USD,3069.532958984375,3069.532958984375,3068.78857421875,3068.78857421875,13730816
2025-12-15 00:10:00+00:00,ETH-USD,3066.582763671875,3066.857177734375,3066.582763671875,3066.857177734375,32752640
2025-12-15 00:12:00+00:00,ETH-USD,3061.1875,3061.1875,3061.1875,3061.1875,0
2025-12-15 00:14:00+00:00,ETH-USD,3060.108154296875,3060.2265625,3060.108154296875,3060.2265625,0
2025-12-15 00:16:00+00:00,ETH-USD,3061.245361328125,3061.245361328125,3059.345458984375,3059.345458984375,345930752
2025-12-15 00:18:00+00:00,ETH-USD,3063.19140625,3066.3916015625,3063.19140625,3066.3916015625,269130752
2025-12-15 00:20:00+00:00,ETH-USD,3074.819580078125,3074.819580078125,3071.091796875,3071.091796875,196084736
2025-12-15 00:22:00+00:00,ETH-USD,3073.214111328125,3074.8486328125,3073.214111328125,3074.8486328125,0
2025-12-15 00:24:00+00:00,ETH-USD,3077.560546875,3077.560546875,3077.560546875,3077.560546875,185458688
2025-12-15 00:26:00+00:00,ETH-USD,3076.639892578125,3076.639892578125,3076.40380859375,3076.40380859375,22024192
2025-12-15 00:28:00+00:00,ETH-USD,3076.906494140625,3076.906494140625,3075.352294921875,3075.352294921875,577261568
2025-12-15 00:30:00+00:00,ETH-USD,3074.39501953125,3077.132080078125,3074.39501953125,3077.132080078125,561858560
2025-12-15 00:32:00+00:00,ETH-USD,3079.90234375,3079.90234375,3075.24462890625,3075.24462890625,264288256
2025-12-15 00:34:00+00:00,ETH-USD,3075.3076171875,3075.3076171875,3074.20263671875,3074.20263671875,12290048
2025-12-15 00:36:00+00:00,ETH-USD,3072.3408203125,3072.3408203125,3069.076416015625,3069.076416015625,20820992
2025-12-15 00:38:00+00:00,ETH-USD,3068.749267578125,3068.749267578125,3065.37744140625,3065.37744140625,0
2025-12-15 00:40:00+00:00,ETH-USD,3064.8076171875,3064.8076171875,3061.739013671875,3061.739013671875,49814528
2025-12-15 00:42:00+00:00,ETH-USD,3060.096435546875,3060.096435546875,3058.43603515625,3058.43603515625,79961088
2025-12-15 00:44:00+00:00,ETH-USD,3059.742919921875,3061.779541015625,3059.742919921875,3061.779541015625,34876416
2025-12-15 00:46:00+00:00,ETH-USD,3060.429443359375,3062.555908203125,3060.429443359375,3062.555908203125,156079104
2025-12-15 00:48:00+00:00,ETH-USD,3063.079345703125,3063.670166015625,3063.079345703125,3063.670166015625,0
2025-12-15 00:50:00+00:00,ETH-USD,3066.53173828125,3066.53173828125,3066.53173828125,3066.53173828125,0
2025-12-15 00:52:00+00:00,ETH-USD,3063.437255859375,3068.854736328125,3063.437255859375,3068.854736328125,670476288
2025-12-15 00:54:00+00:00,ETH-USD,3067.232177734375,3071.393798828125,3067.232177734375,3071.393798828125,27996160
2025-12-15 00:56:00+00:00,ETH-USD,3075.0390625,3076.29736328125,3075.0390625,3076.29736328125,0
2025-12-15 00:58:00+00:00,ETH-USD,3075.90478515625,3075.90478515625,3075.90478515625,3075.90478515625,263201792
2025-12-15 01:00:00+00:00,ETH-USD,3075.10791015625,3075.10791015625,3075.10791015625,3075.10791015625,35947520
2025-12-15 01:02:00+00:00,ETH-USD,3075.649658203125,3075.649658203125,3075.649658203125,3075.649658203125,0
2025-12-15 01:04:00+00:00,ETH-USD,3076.420166015625,3076.420166015625,3072.83837890625,3072.83837890625,91147264
2025-12-15 01:06:00+00:00,ETH-USD,3074.946044921875,3074.946044921875,3072.9228515625,3072.9228515625,86238208
2025-12-15 01:08:00+00:00,ETH-USD,3073.031005859375,3073.031005859375,3067.623779296875,3067.623779296875,0
2025-12-15 01:10:00+00:00,ETH-USD,3070.59375,3070.59375,3070.541015625,3070.541015625,173158400
2025-12-15 01:12:00+00:00,ETH-USD,3073.013427734375,3073.771240234375,3073.013427734375,3073.771240234375,908542976
2025-12-15 01:14:00+00:00,ETH-USD,3074.850830078125,3075.427734375,3074.850830078125,3075.427734375,1540096
